전기차 충전소 설치현황 ( 20230525 현재 ),,,,,
"시도 : 부산광역시, 시군구 : ALL",,,,,
시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
부산광역시,엄궁코오롱 아파트,부산광역시 사상구 엄궁동 680-1,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,주례2동 행정복지센터,부산광역시 사상구 주례동 154-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,주례한효 아파트,부산광역시 사상구 주례동 3-32,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,학장동신구덕우성 아파트,부산광역시 사상구 학장동 571-3,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,학장삼성2차 아파트,부산광역시 사상구 학장동 574-57,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,괴정신익타운 아파트,부산광역시 사하구 괴정동 398-22,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,구평한신휴플러스,부산광역시 사하구 구평동 497,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,국민건강보험공단,부산광역시 사하구 신평동 646-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,낙동강하구에코센터,부산광역시 사하구 하단동 1150-8,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,다대현대 아파트,부산광역시 사하구 다대동 120-1,2 ,6 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,당리혜성 아파트,부산광역시 사하구 당리동 17-2,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,사하구 제2청사,부산광역시 사하구 신평동 646-2,2 ,0 ,"SM3 Z.E,테슬라"
부산광역시,을숙도 공영주차장,부산광역시 사하구 하단동 1149-35,2 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,남부건설본부,부산광역시 서구 토성동1가 29,0 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,대신 롯데캐슬,부산광역시 서구 서대신동3가 762,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부민e-편한세상,부산광역시 서구 부민동3가 76,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산국제수산물유통시설관리사업소,부산광역시 서구 암남동 761,2 ,0 ,"SM3 Z.E,테슬라"
부산광역시,송도현대아파트,부산광역시 서구 암남동 611-1,0 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,중부산지사,부산광역시 서구 토성동1가 23,2 ,7 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,민락동 매립지 공영주차장,부산광역시 수영구 민락동113-46,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,부산도시재생지원센터 비콘그라운드,부산광역시 수영구 망미동 603-2,1 ,0 ,"SM3 Z.E,테슬라"
